"Otroci, vkljuèeni v vrtec, po statistièni regiji zavoda, vrsti vrtca (lastnina) in starosti otrok, Slovenija, letno"

"STATISTIÈNA REGIJA ZAVODA";"STAROST";"VRSTA ZAVODA (LASTNINA)";"2006/07";"2007/08";"2008/09";"2009/10";"2010/11";"2011/12";"2012/13";"2013/14";"2014/15";"2015/16";"2016/17";"2017/18";"2018/19"
"Osrednjeslovenska";"3 leta";"Vrsta zavoda  - SKUPAJ";3828;4172;4378;4883;5215;5812;5877;5806;5785;5640;5409;5520;5479
"Osrednjeslovenska";"4 leta";"Vrsta zavoda  - SKUPAJ";4289;4153;4470;4699;5249;5475;5980;5958;6020;5900;5865;5604;5729
"Osrednjeslovenska";"5 let";"Vrsta zavoda  - SKUPAJ";4231;4443;4325;4622;4744;5191;5545;5953;5931;5891;5953;5989;5682
"Osrednjeslovenska";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";246;254;250;228;416;426;344;385;460;473;626;615;767
"Gorenjska";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";5580;5924;6434;7142;7568;8016;8214;8244;8422;8468;8413;8451;8554
"Gorenjska";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";368;453;644;668;717;758;688;755;770;800;796;856;886
"Gorenjska";"2 leti";"Vrsta zavoda  - SKUPAJ";794;795;991;1190;1288;1347;1420;1290;1360;1348;1369;1452;1498
"Gorenjska";"3 leta";"Vrsta zavoda  - SKUPAJ";1161;1395;1424;1691;1761;1872;1890;1906;1797;1864;1841;1766;1854
"Gorenjska";"4 leta";"Vrsta zavoda  - SKUPAJ";1529;1509;1654;1720;1860;1915;2048;2049;2170;2022;2025;2027;1932
"Gorenjska";"5 let";"Vrsta zavoda  - SKUPAJ";1639;1706;1624;1741;1788;2009;2019;2106;2160;2249;2151;2125;2120
"Gorenjska";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";89;66;97;132;154;115;149;138;165;185;231;225;264
"Primorsko-notranjska";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";1193;1277;1448;1558;1768;1862;1905;1934;2009;2042;2107;2099;2115
"Primorsko-notranjska";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";103;151;189;204;245;232;248;214;211;205;236;226;240
"Primorsko-notranjska";"2 leti";"Vrsta zavoda  - SKUPAJ";196;198;243;284;353;340;355;363;347;343;349;385;371
"Primorsko-notranjska";"3 leta";"Vrsta zavoda  - SKUPAJ";257;281;297;334;375;437;407;429;482;455;461;432;455
"Primorsko-notranjska";"4 leta";"Vrsta zavoda  - SKUPAJ";327;303;348;358;395;416;463;442;465;516;504;506;467
"Primorsko-notranjska";"5 let";"Vrsta zavoda  - SKUPAJ";302;336;363;371;396;422;421;476;489;497;546;517;533
"Primorsko-notranjska";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";8;8;8;7;4;15;11;10;15;26;11;33;49
"Goriška";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";2916;3099;3430;3666;4031;4331;4533;4544;4633;4639;4620;4561;4456
"Goriška";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";194;219;355;434;454;497;433;448;406;391;424;429;435
"Goriška";"2 leti";"Vrsta zavoda  - SKUPAJ";366;448;492;627;762;755;818;715;758;750;769;752;761
"Goriška";"3 leta";"Vrsta zavoda  - SKUPAJ";541;705;768;757;931;1071;1020;1071;1042;1049;1004;987;957
"Goriška";"4 leta";"Vrsta zavoda  - SKUPAJ";761;762;864;888;867;1047;1151;1131;1167;1149;1148;1101;1064
"Goriška";"5 let";"Vrsta zavoda  - SKUPAJ";950;929;890;929;962;929;1075;1142;1188;1224;1203;1204;1130
"Goriška";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";104;36;61;31;55;32;36;37;72;76;72;88;109
"Obalno-kraška";"Starost - SKUPAJ";"Vrsta zavoda  - SKUPAJ";2950;3096;3388;3723;4060;4356;4469;4510;4552;4537;4548;4441;4512
"Obalno-kraška";"1 leto ali manj";"Vrsta zavoda  - SKUPAJ";290;309;433;513;597;574;591;542;507;505;536;508;567
"Obalno-kraška";"2 leti";"Vrsta zavoda  - SKUPAJ";492;554;609;742;821;889;890;806;835;791;846;814;842
"Obalno-kraška";"3 leta";"Vrsta zavoda  - SKUPAJ";672;724;750;793;931;1030;1003;1034;972;1005;939;957;967
"Obalno-kraška";"4 leta";"Vrsta zavoda  - SKUPAJ";750;740;804;831;840;966;1052;1073;1101;1043;1077;968;1037
"Obalno-kraška";"5 let";"Vrsta zavoda  - SKUPAJ";735;734;767;818;845;852;912;1012;1080;1105;1057;1095;1022
"Obalno-kraška";"6 let ali veè";"Vrsta zavoda  - SKUPAJ";11;35;25;26;26;45;21;43;57;88;93;99;77
